PD_DESC,ARREST_BORO
"ASSAULT 2,PL 1200501
"TRAFFIC,M
"MARIJUANA,M
AGGRAVATED HARASSMENT 2,Q
STRANGULATION 1ST,B
"ROBBERY,F
"SEXUAL ABUSE 3,M
"LARCENY,PL 1552500
"CRIMINAL MISCHIEF,M
RAPE 3,Q
"FORGERY,PL 1702500
"CONTROLLED SUBSTANCE,F
"TRAFFIC,M
RECKLESS ENDANGERMENT 1,K
OBSTR BREATH/CIRCUL,K
"CRIMINAL MISCHIEF,M
"LARCENY,PL 1552500
"LARCENY,PL 1553001
CRIMINAL MIS 2 & 3,M
"LARCENY,PL 1552500
"LARCENY,PL 1552500
"ASSAULT 2,PL 1200501
"WEAPONS,PL 2650101
ASSAULT 3,Q
ASSAULT 3,M
"ROBBERY,F
"BURGLARY,PL 1402501
FUGITIVE/OTHER STATES,M
POSSESSION HYPODERMIC INSTRUME,Q
ASSAULT 3,K
ASSAULT 3,B
"CONTROLLED SUBSTANCE,F
"CRIMINAL MISCHIEF,M
"LARCENY,PL 1552500
"PUBLIC ADMINISTRATION,F
"NY STATE LAWS,F
"MENACING,M
"LARCENY,PL 1553005
CRIMINAL MIS 2 & 3,S
CRIMINAL MIS 2 & 3,Q
"CONTEMPT,M
WEAPONS POSSESSION 1 & 2,K
ASSAULT 3,K
"LARCENY,PL 1554001
"TRESPASS 3,M
"ASSAULT 2,PL 120001H
"LARCENY,PL 1552500
WEAPONS POSSESSION 1 & 2,M
"CONTEMPT,M
U.S. CODE UNCLASSIFIED,M
"LARCENY,PL 1553001
ASSAULT 3,B
OBSTR BREATH/CIRCUL,S
"LARCENY,PL 1552500
ASSAULT 3,M
"ASSAULT 2,PL 1200504
"TRAFFIC,M
"MENACING,M
"MENACING,M
"LARCENY,PL 1552500
WEAPONS POSSESSION 1 & 2,B
OBSCENE MATERIAL - UNDER 17 YE,S
OBSTR BREATH/CIRCUL,B
WEAPONS POSSESSION 1 & 2,Q
"LARCENY,PL 1552500
CRIMINAL MIS 2 & 3,Q
"MENACING,M
"PUBLIC ADMINISTATION,M
"ROBBERY,F
"LARCENY,PL 1552500
"IMPERSONATION 2,M
"ASSAULT 2,PL 1200512
"PUBLIC ADMINISTRATION,F
"CHILD,M
"LARCENY,PL 1553501
RECKLESS ENDANGERMENT 1,B
"CRIMINAL MISCHIEF,M
"MURDER,F
"MENACING,M
"CHILD,M
"CRIMINAL MISCHIEF 4TH,M
"SEXUAL ABUSE 3,M
"BURGLARY,PL 1402000
"STOLEN PROPERTY 2,PL 1655200
"BURGLARY,PL 1402501
ASSAULT 3,B
RECKLESS ENDANGERMENT 2,K
"LARCENY,PL 1552500
"ASSAULT 2,PL 1200501
"TRAFFIC,M
"BURGLARY,PL 1402000
"CRIMINAL MISCHIEF,M
ASSAULT 3,K
"PUBLIC ADMINISTRATION,F
"ASSAULT 2,PL 1200502
"TRAFFIC,M
ASSAULT 3,B
"NY STATE LAWS,V
"BURGLARY,PL 1402000
ASSAULT POLICE/PEACE OFFICER,Q
CRIMINAL CONTEMPT 1,B
"TRAFFIC,M
"LARCENY,PL 1552500
"CRIMINAL MISCHIEF,M
ASSAULT 3,B
RESISTING ARREST,M
"LARCENY,PL 1552500
"ASSAULT 2,PL 1200502
"WEAPONS,PL 2650101
"ASSAULT 2,PL 1200502
"LARCENY,PL 1553001
"ROBBERY,F
"TRAFFIC,M
"MENACING,M
"CRIMINAL MISCHIEF,M
"LARCENY,PL 1552500
"PROSTITUTION 3,F
"LARCENY,PL 1552500
STRANGULATION 1ST,M
"ROBBERY,F
"CONTROLLED SUBSTANCE,M
"ASSAULT 2,PL 1200501
CRIMINAL MIS 2 & 3,B
"BURGLARY,PL 1402000
CRIMINAL MIS 2 & 3,S
"BURGLARY,PL 1402000
"INTOXICATED DRIVING,M
"LARCENY,PL 1552500
"LARCENY,PL 1552500
ASSAULT 3,B
RECKLESS ENDANGERMENT 2,M
"PUBLIC ADMINISTRATION,F
CRIMINAL MIS 2 & 3,K
"CRIMINAL MISCHIEF,M
"ROBBERY,F
"LARCENY,PL 1552500
"LARCENY,PL 1552500
COERCION 1,Q
U.S. CODE UNCLASSIFIED,M
"ASSAULT 2,PL 1200502
"CRIMINAL MISCHIEF 4TH,M
"BURGLARY,PL 1402502
"ASSAULT 2,PL 1200501
"LARCENY,PL 1552500
"CONTEMPT,M
"LARCENY,PL 1552500
ASSAULT 3,M
"WEAPONS,PL 2650101
ASSAULT 3,M
"LARCENY,PL 1554001
ASSAULT 3,B
"CONTROLLED SUBSTANCE,M
"LARCENY,PL 1552500
"BURGLARY,PL 1402000
ASSAULT 3,Q
"ROBBERY,F
"LARCENY,PL 1552500
"CONTROLLED SUBSTANCE,M
"BURGLARY,PL 1402000
"PUBLIC ADMINISTATION,M
"NY STATE LAWS,M
ASSAULT 3,K
"PUBLIC ADMINISTRATION,F
ASSAULT 3,M
"BURGLARY,PL 1402502
"ROBBERY,F
"DRUG PARAPHERNALIA,M
ASSAULT 3,B
"LARCENY,PL 1552500
"LARCENY,PL 1553001
ASSAULT 3,M
"LARCENY,PL 1552500
"BURGLARY,PL 140251A
ASSAULT 3,Q
ASSAULT 3,K
ASSAULT 3,Q
STRANGULATION 1ST,Q
"INTOXICATED DRIVING,M
"PUBLIC ADMINISTATION,M
"INTOXICATED DRIVING,F
"INTOXICATED DRIVING,M
ASSAULT 3,K
"PUBLIC ADMINISTATION,M
CRIMINAL CONTEMPT 1,B
"BURGLARY,PL 1402000
"CONTROLLED SUBSTANCE,F
"SEXUAL ABUSE 3,M
ASSAULT 3,Q
"ASSAULT 2,PL 1200501
"BURGLARS TOOLS,M
RECKLESS ENDANGERMENT 2,S
STRANGULATION 1ST,K
"LARCENY,PL 1553001
"PUBLIC ADMINISTRATION,F
"BURGLARY,PL 1402000
"ASSAULT 2,PL 1200502
ASSAULT 3,Q
"PUBLIC ADMINISTRATION,F
"ASSAULT 2,PL 1200502
"LEWDNESS,M
"ASSAULT 2,PL 1200501
"LARCENY,PL 1552500
RECKLESS ENDANGERMENT 2,K
OBSTR BREATH/CIRCUL,B
"LARCENY,PL 1552500
"WEAPONS,PL 2650101
"MENACING,M
"TRAFFIC,M
"LARCENY,PL 1552500
"TRAFFIC,M
"BURGLARY,PL 1402000
"CONTROLLED SUBSTANCE,F
"LARCENY,PL 1552500
"CONTEMPT,M
ASSAULT 3,K
"TRAFFIC,M
"BURGLARS TOOLS,M
ASSAULT 3,M
CRIMINAL MIS 2 & 3,K
"LARCENY,PL 1552500
"CRIMINAL MISCHIEF 4TH,M
"BURGLARY,PL 1402502
"TRAFFIC,M
"WEAPONS,PL 2650102
"LARCENY,PL 1552500
"CONTROLLED SUBSTANCE,F
STRANGULATION 1ST,K
"BURGLARY,PL 1402000
"TRAFFIC,F
"BURGLARY,PL 1402000
"CONTROLLED SUBSTANCE,M
"CRIMINAL MISCHIEF 4TH,M
ASSAULT 3,B
"MENACING,M
"NY STATE LAWS,M
"LARCENY,PL 1553501
"CONTROLLED SUBSTANCE,F
"BURGLARY,PL 1402000
"LARCENY,PL 1552500
ASSAULT 3,K
"BURGLARY,PL 1402502
UNAUTHORIZED USE VEHICLE 2,K
"LARCENY,PL 1552500
WEAPONS POSSESSION 3,B
"LARCENY,PL 1552500
ASSAULT 3,Q
ASSAULT 3,B
"ASSAULT 2,PL 1200501
"CONTROLLED SUBSTANCE,M
"MENACING,M
STRANGULATION 1ST,M
"THEFT OF SERVICES,M
ASSAULT 3,K
AGGRAVATED CRIMINAL CONTEMPT,Q
"TRAFFIC,M
"CRIMINAL MISCHIEF 4TH,M
"ASSAULT 2,PL 1200502
"MENACING,M
"LARCENY,PL 1553001
ASSAULT 3,K
"CRIMINAL MISCHIEF 4TH,M
"ASSAULT 2,PL 1200501
"CRIMINAL MISCHIEF,M
AGGRAVATED HARASSMENT 2,S
"CONTROLLED SUBSTANCE,F
"PUBLIC ADMINISTRATION,F
"ROBBERY,F
ASSAULT POLICE/PEACE OFFICER,S
"BURGLARS TOOLS,M
ASSAULT 3,M
"LARCENY,PL 1553001
"LARCENY,PL 1552500
"LARCENY,PL 1553001
"BURGLARY,PL 1402000
ASSAULT 3,Q
"LARCENY,PL 1552500
"ASSAULT 2,PL 1200502
"INTOXICATED DRIVING,M
ASSAULT 3,M
"TRAFFIC,M
"CRIMINAL MISCHIEF,M
"ROBBERY,F
"ROBBERY,F
"INTOXICATED DRIVING,M
RAPE 1,M
